Age,Occupation,Annual_Income,Credit_Score
23,1,19114.12,1
23,1,19114.12,1
23,1,19114.12,1
23,1,19114.12,1
23,1,19114.12,1
23,1,19114.12,1
23,1,19114.12,1
23,1,19114.12,60
28,2,34847.84,60
28,2,34847.84,1
28,2,34847.84,60
28,2,34847.84,1
28,2,34847.84,1
28,2,34847.84,1
28,2,34847.84,1
28,2,34847.84,1
34,3,143162.64,1
34,3,143162.64,1
34,3,143162.64,1
34,3,143162.64,1
34,3,143162.64,1
34,3,143162.64,1
34,3,143162.64,60
34,3,143162.64,60
54,4,30689.89,60
54,4,30689.89,60
55,4,30689.89,60
55,4,30689.89,60
55,4,30689.89,60
55,4,30689.89,60
55,4,30689.89,60
55,4,30689.89,60
21,5,35547.71,60
21,5,35547.71,60
21,5,35547.71,60
21,5,35547.71,60
21,5,35547.71,60
21,5,35547.71,60
21,5,35547.71,60
21,5,35547.71,60
31,6,73928.46,1
31,6,73928.46,1
31,6,73928.46,1
31,6,73928.46,1
31,6,73928.46,1
31,6,73928.46,1
31,6,73928.46,60
31,6,73928.46,1
33,6,131313.4,1
34,6,131313.4,1
34,6,131313.4,1
34,6,131313.4,1
34,6,131313.4,1
34,6,131313.4,60
34,6,131313.4,1
34,6,131313.4,1
30,7,34081.38,0
30,7,34081.38,0
30,7,34081.38,0
30,7,34081.38,0
30,7,34081.38,60
30,7,34081.38,60
30,7,34081.38,60
30,7,34081.38,0
23,8,114838.41,1
23,8,114838.41,1
23,8,114838.41,1
23,8,114838.41,1
23,8,114838.41,60
24,8,114838.41,1
24,8,114838.41,1
24,8,114838.41,60
44,9,31370.8,1
44,9,31370.8,1
44,9,31370.8,1
44,9,31370.8,1
44,9,31370.8,1
44,9,31370.8,1
45,9,31370.8,1
45,9,31370.8,1
40,2,33751.27,60
40,2,33751.27,60
40,2,33751.27,60
40,2,33751.27,60
40,2,33751.27,60
40,2,33751.27,60
40,2,33751.27,60
41,2,33751.27,60
32,3,88640.24,60
33,3,88640.24,1
33,3,88640.24,60
33,3,88640.24,60
33,3,88640.24,1
